iter	Passed	Remaining
613	20181	12687
614	20201	12646
615	20216	12602
616	20232	12559
617	20252	12518
618	20268	12475
619	20284	12432
620	20301	12390
621	20317	12347
622	20335	12305
623	20353	12264
624	20375	12225
625	20390	12182
626	20409	12141
627	20426	12099
628	20449	12061
629	20466	12019
630	20483	11978
631	20501	11937
632	20522	11898
633	20541	11858
634	20570	11824
635	20606	11793
636	20638	11760
637	20673	11730
638	20710	11700
639	20744	11668
640	20774	11635
641	20795	11596
642	20811	11554
643	20832	11515
644	20851	11476
645	20867	11435
646	20885	11394
647	20917	11362
648	20955	11333
649	20981	11297
650	21012	11264
651	21030	11225
652	21051	11186
653	21068	11146
654	21086	11106
655	21105	11067
656	21124	11028
657	21143	10989
658	21159	10949
659	21179	10910
660	21198	10871
661	21217	10833
662	21239	10796
663	21264	10760
664	21301	10731
665	21345	10704
666	21407	10687
667	21456	10663
668	21519	10647
669	21551	10614
670	21587	10584
671	21624	10554
672	21658	10523
673	21693	10492
674	21723	10459
675	21755	10426
676	21796	10399
677	21825	10365
678	21858	10333
679	21890	10301
680	21922	10268
681	21958	10238
682	21988	10205
683	22021	10173
684	22057	10143
685	22077	10105
686	22108	10072
687	22148	10043
688	22178	10010
689	22209	9978
690	22237	9943
691	22263	9909
692	22295	9876
693	22332	9846
694	22364	9814
695	22393	9781
696	22413	9743
697	22432	9705
698	22451	9668
699	22476	9632
700	22490	9592
701	22513	9557
702	22531	9519
703	22546	9479
704	22564	9442
705	22580	9403
706	22594	9363
707	22612	9326
708	22629	9288
709	22644	9249
710	22661	9211
711	22681	9174
712	22698	9136
713	22712	9097
714	22727	9059
715	22737	9018
716	22754	8981
717	22784	8948
718	22818	8917
719	22843	8883
720	22869	8849
721	22895	8815
722	22934	8786
723	22948	8748
724	22981	8716
725	23008	8683
726	23041	8652
727	23075	8621
728	23105	8589
729	23158	8565
730	23210	8541
731	23231	8505
732	23242	8466
733	23260	8429
734	23276	8392
735	23289	8353
736	23305	8316
737	23320	8278
738	23342	8243
739	23403	8222
740	23453	8197
741	23488	8167
742	23501	8129
743	23514	8091
744	23528	8053
745	23539	8014
746	23548	7975
747	23565	7939
748	23575	7900
749	23586	7862
750	23597	7823
751	23607	7785
752	23622	7748
753	23639	7712
754	23655	7676
755	23674	7641
756	23690	7604
757	23708	7569
758	23726	7533
759	23746	7498
760	23766	7463
761	23786	7429
762	23810	7395
763	23827	7360
764	23848	7326
765	23868	7291
766	23886	7256
767	23902	7220
768	23920	7185
769	23938	7150
770	23955	7115
771	23972	7079
772	24003	7048
773	24034	7017
774	24066	6986
775	24105	6958
776	24149	6931
777	24188	6902
778	24217	6870
779	24236	6835
780	24254	6801
781	24269	6765
782	24288	6731
783	24306	6696
784	24329	6663
785	24349	6629
786	24366	6594
787	24385	6560
788	24400	6525
789	24417	6490
790	24433	6456
791	24451	6421
792	24469	6387
793	24487	6353
794	24503	6318
795	24521	6284
796	24540	6250
797	24559	6216
798	24581	6183
799	24597	6149
800	24614	6115
801	24637	6082
802	24654	6048
803	24673	6015
804	24696	5982
805	24732	5953
806	24750	5919
807	24772	5886
808	24790	5852
809	24812	5820
810	24831	5786
811	24849	5753
812	24869	5720
813	24884	5686
814	24901	5652
815	24921	5619
816	24935	5585
817	24954	5552
818	24975	5519
819	24993	5486
820	25008	5452
821	25026	5419
822	25047	5386
823	25063	5353
824	25080	5320
825	25104	5288
826	25133	5257
827	25159	5226
828	25209	5200
829	25235	5168
830	25255	5136
831	25272	5103
832	25302	5072
833	25334	5042
834	25369	5013
835	25389	4980
836	25405	4947
837	25420	4914
838	25436	4881
839	25455	4848
840	25481	4817
841	25517	4788
842	25552	4758
843	25591	4730
844	25623	4700
845	25669	4672
846	25699	4642
847	25742	4614
848	25780	4585
849	25804	4553
850	25825	4521
851	25842	4489
852	25860	4456
853	25884	4425
854	25900	4392
855	25912	4359
856	25925	4325
857	25951	4295
858	25979	4264
859	26011	4234
860	26035	4203
861	26057	4171
862	26074	4139
863	26095	4107
864	26113	4075
865	26128	4042
866	26148	4011
867	26170	3979
868	26184	3947
869	26194	3914
870	26201	3880
871	26211	3847
872	26218	3814
873	26227	3781
874	26237	3748
875	26245	3715
876	26255	3682
877	26265	3649
878	26274	3616
879	26284	3584
880	26297	3552
881	26306	3519
882	26319	3487
883	26328	3454
884	26339	3422
885	26351	3390
886	26364	3358
887	26374	3326
888	26385	3294
889	26409	3264
890	26452	3236
891	26478	3205
892	26504	3175
893	26528	3145
894	26552	3115
895	26577	3084
896	26605	3055
897	26628	3024
898	26648	2993
899	26671	2963
900	26692	2932
901	26714	2902
902	26739	2872
903	26766	2842
904	26786	2811
905	26808	2781
906	26830	2751
907	26844	2719
908	26861	2689
909	26885	2659
910	26905	2628
911	26928	2598
912	26948	2567
913	26970	2537
914	26986	2506
915	27007	2476
916	27026	2446
917	27046	2415
918	27066	2385
919	27081	2354
920	27099	2324
921	27120	2294
922	27144	2264
923	27166	2234
924	27184	2204
925	27204	2173
926	27221	2143
927	27244	2113
928	27261	2083
929	27285	2053
930	27303	2023
931	27322	1993
932	27349	1964
933	27367	1933
934	27391	1904
935	27412	1874
936	27434	1844
937	27453	1814
938	27463	1784
939	27483	1754
940	27505	1724
941	27524	1694
942	27545	1664
943	27563	1635
944	27579	1605
945	27588	1574
946	27599	1544
947	27608	1514
948	27618	1484
949	27627	1454
950	27638	1424
951	27647	1393
952	27657	1363
953	27666	1334
954	27676	1304
955	27684	1274
956	27694	1244
957	27702	1214
958	27713	1184
